id,stimuli,dec,conf,dec_fct,stimuli_target,condition,extr,extr_prctl,extr_type,extr_pro,extr_pro_c,ATI,ATI_prctl,ATI_type,ATI_pro,stimuli_is_targeted,stimuli_is_targeted_fct,dec_correct,conf_full_range,conf_in_correct
_2COfy7IE9lUMVbTWB38Goxk32w2Om28ZWv9b8Ru_Ye52ZSTn_bBaW4th5UOrla4,7,0,4,0,intr,inoculation,4.25,0.859433530548471,extr,0.35943353054847105,0.10943353054847105,3.3333333333333335,0.6113907830650629,affine,0.11139078306506289,FALSE,0,1,-4,2
_EK7a25lZFxW7MmuKnd_rJLrzNhn9BOkG8dY2hPH58ZVOpqeuAnMJMCT1H2zSYBy,3,1,5,1,intr,inoculation,4.25,0.871462850657585,extr,0.371462850657585,0.121462850657585,4.777777777777778,0.9751497280293825,affine,0.4751497280293825,FALSE,0,0,5,5
_EK7a25lZFxW7MmuKnd_rJLrzNhn9BOkG8dY2hPH58ZVOpqeuAnMJMCT1H2zSYBy,7,1,5,1,intr,inoculation,4.25,0.871462850657585,extr,0.371462850657585,0.121462850657585,4.777777777777778,0.9751497280293825,affine,0.4751497280293825,FALSE,0,0,5,5
_EK7a25lZFxW7MmuKnd_rJLrzNhn9BOkG8dY2hPH58ZVOpqeuAnMJMCT1H2zSYBy,1,1,5,1,intr,inoculation,4.25,0.871462850657585,extr,0.371462850657585,0.121462850657585,4.777777777777778,0.9751497280293825,affine,0.4751497280293825,FALSE,0,0,5,5
_EK7a25lZFxW7MmuKnd_rJLrzNhn9BOkG8dY2hPH58ZVOpqeuAnMJMCT1H2zSYBy,4,1,5,1,extr,inoculation,4.25,0.871462850657585,extr,0.371462850657585,0.121462850657585,4.777777777777778,0.9751497280293825,affine,0.4751497280293825,TRUE,1,1,5,5
_EK7a25lZFxW7MmuKnd_rJLrzNhn9BOkG8dY2hPH58ZVOpqeuAnMJMCT1H2zSYBy,5,1,5,1,intr,inoculation,4.25,0.871462850657585,extr,0.371462850657585,0.121462850657585,4.777777777777778,0.9751497280293825,affine,0.4751497280293825,FALSE,0,0,5,5
_EK7a25lZFxW7MmuKnd_rJLrzNhn9BOkG8dY2hPH58ZVOpqeuAnMJMCT1H2zSYBy,2,1,3,1,extr,inoculation,4.25,0.871462850657585,extr,0.371462850657585,0.121462850657585,4.777777777777778,0.9751497280293825,affine,0.4751497280293825,TRUE,1,1,3,3
_EK7a25lZFxW7MmuKnd_rJLrzNhn9BOkG8dY2hPH58ZVOpqeuAnMJMCT1H2zSYBy,6,1,5,1,extr,inoculation,4.25,0.871462850657585,extr,0.371462850657585,0.121462850657585,4.777777777777778,0.9751497280293825,affine,0.4751497280293825,TRUE,1,1,5,5
_EK7a25lZFxW7MmuKnd_rJLrzNhn9BOkG8dY2hPH58ZVOpqeuAnMJMCT1H2zSYBy,10,1,5,1,extr,inoculation,4.25,0.871462850657585,extr,0.371462850657585,0.121462850657585,4.777777777777778,0.9751497280293825,affine,0.4751497280293825,TRUE,1,1,5,5
_EK7a25lZFxW7MmuKnd_rJLrzNhn9BOkG8dY2hPH58ZVOpqeuAnMJMCT1H2zSYBy,9,0,5,0,intr,inoculation,4.25,0.871462850657585,extr,0.371462850657585,0.121462850657585,4.777777777777778,0.9751497280293825,affine,0.4751497280293825,FALSE,0,1,-5,1
_EK7a25lZFxW7MmuKnd_rJLrzNhn9BOkG8dY2hPH58ZVOpqeuAnMJMCT1H2zSYBy,8,1,5,1,extr,inoculation,4.25,0.871462850657585,extr,0.371462850657585,0.121462850657585,4.777777777777778,0.9751497280293825,affine,0.4751497280293825,TRUE,1,1,5,5
